slug,name,location,bio,is_resident,profile_image_url,instagram_url,soundcloud_url,spotify_url,youtube_url,mixcloud_url,website_url,aliases
214,214,,,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2F214-fb468d0a.jpg,https://www.instagram.com/rinzen/,,,,,,
asw,ASW,"Seattle, WA","Seattle-based DJ and electronic music collective active in the PNW underground scene. Runs the ASW Mix Series, featuring underground electronic artists from around the world. Active in the Shameless community and related Seattle events.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/asw-0204134c.jpg,,https://soundcloud.com/asw-collective,,,,,
abraham,Abraham,"Seattle, WA","Abraham is a Seattle DJ documented on the Studio 4/4 stage at Shameless' 7th Memorial Day Hijinks at Monkey Loft. That 2022 lineup placed him alongside Black Velveteen, Jesse Leer, Simone BG, and Snapdragon, with Desert Hearts on the rooftop and Shameless residents in the loft. Abraham lands as local support from the house and techno side of the Seattle circuit, connected to Studio 4/4 and made for daytime rooftop momentum.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Fabraham-6f66db77.jpg,https://www.instagram.com/abrahampi1/,,,,,,
acid-tourist,Acid Tourist,"Seattle, WA","Acid Tourist is Holmar, formerly of Thugfucker, bringing a seasoned, psychedelic approach to house and techno. His work under the Acid Tourist name keeps the focus on movement, atmosphere, and the loose edges where club music gets strange. Seattle lineups have placed him in rooms connected to long-running house culture, including Flammable and Uniting Souls circles. Acid Tourist brings road-worn, trippy club energy built for dancers who stay late.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/acid-tourist-7b8be213.jpg,https://www.instagram.com/holmarmusik/,https://soundcloud.com/holmar,,,,https://ra.co/dj/holmar,"Acid Tourist (4 Hour Set!, NYC)"
adlib,Adlib,"Seattle, WA","Adlib is Devin Kelly, the Seattle DJ, producer, and promoter whose work with Shameless and People of Earth has helped keep the city's underground mischievous and moving. A self-taught DJ since 1998, he came up through Idaho, Boise, and Salt Lake City scenes before becoming a regular force across Western clubs, renegades, and outdoor gatherings. His sets are known for technical blends, darker progressive pressure, acid, techno, and enough crowd-rocking instinct to keep the heady stuff from floating away. Adlib is pure Shameless DNA: radical good times, serious tunes, and dance-floor debauchery with a working brain.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/adlib-9d9bf2a5.jpg,,https://soundcloud.com/peopleofearth,,,,,
aivilo,Aivilo,"Seattle, WA","Digital/analog DJ known for deep/minimal house, techno, breaks and acid. Part of Shameless crew since \~2013.",true,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/aivilo-89042e1f.jpg,https://www.instagram.com/aivilo.b2b.olivia/,https://soundcloud.com/aivilo-b2b-olivia,,,,,AIVILIBIDO|Aivilo (Rooftop)
alex-carrabba,Alessandro Carrabba,"Seattle, WA","Seattle-based DJ and co-founder of OFF99 alongside Keenan Stevenson. Their West Coast house project draws from soul, disco, jazz, and hip-hop influences. OFF99 has hosted legends including Omar S, Fred P, DJ QU, and Palms Trax, and launched the HouseOFF99 mix series spotlighting Pacific Northwest DJs. A regular presence at Kremwerk and Monkey Loft.",false,https://i1.sndcdn.com/avatars-RzRTxMHbH7DvOv4n-aONIiA-t500x500.jpg,https://www.instagram.com/alexcarrabba/,https://soundcloud.com/alexcarrabba,,,,https://alexcarrabba.bandcamp.com/,Alex Carrabba
alex-flores,Alex Flores,"Seattle, WA","PNW DJ and promoter active since 2010. A steady presence in Seattle's underground dance music scene, Alex advocates for techno, industrial, and darker 4/4 sounds. Co-founder and promoter with Depth & Macabre events in Seattle. Plays regularly at Kremwerk and other Seattle underground venues.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/alex-flores-282618e0.jpg,https://www.instagram.com/al_flor/,,,,,,
alex-the-cosmic-therapist,Alex the Cosmic Therapist,"Seattle, WA","Alex the Cosmic Therapist is a Seattle DJ/live artist appearing in Shameless-adjacent community listings, including Breakfast Club with Wajatta, DJ Heather, The Fungineers, B.Fly, Black Velveteen, Riz, Recess, Tek Jones, Shannon O, WD4D, and other Northwest fixtures. Additional RA listings place Alex in the Grooving for Good resident circle, where the programming leans hip-hop, pop, funk, mid-tempo, downtempo, alternative, and electronic music. Alex the Cosmic Therapist fits as an eclectic connector: playful, healing-room energy with enough rhythm to land in a club setting, and a name that signals mood as much as genre.",false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs%2Falex-the-cosmic-therapist-741b2e00.jpg,https://www.instagram.com/asinglewave/,,,,,,
alexia-f,Alexia.F,"Seattle, WA",Seattle-native DJ with a deep love for minimal beats and the underground electronic music scene. Part of the Between the Lines City Collective and a regular performer in both Seattle and Los Angeles. Known for drawing out the emotion in minimal and underground sounds.,false,https://pub-d0e8a25adf7347f4aa8120dcaed15ac1.r2.dev/djs/alexia-f-35655fc0.jpg,https://www.instagram.com/alexiafite/,,,,,https://linktr.ee/alexia.f,
